shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
280018,-27.498010,153.024366,80022
280018,-27.498042,153.024542,80023
280018,-27.498050,153.024689,80024
280018,-27.498048,153.024780,80025
280018,-27.498048,153.024780,90001
280018,-27.498047,153.024799,90002
280018,-27.498042,153.024843,90003
280018,-27.498019,153.024981,90004
280018,-27.497955,153.025190,90005
280018,-27.497908,153.025295,90006
280018,-27.497203,153.026536,90007
280018,-27.496588,153.027414,90008
280018,-27.495978,153.028015,90009
280018,-27.495481,153.028416,90010
280018,-27.494915,153.028790,90011
280018,-27.494613,153.028952,90012
280018,-27.494167,153.029135,90013
280018,-27.493809,153.029205,90014
280018,-27.493711,153.029286,90015
280018,-27.493647,153.029411,90016
280018,-27.493635,153.029482,90017
280018,-27.493616,153.029586,90018
280018,-27.493627,153.029783,90019
280018,-27.493676,153.029939,90020
280018,-27.493782,153.030099,90021
280018,-27.494092,153.030564,90022
280018,-27.494092,153.030564,100001
280018,-27.494153,153.030654,100002
280018,-27.494234,153.030776,100003
280018,-27.494330,153.030898,100004
280018,-27.494461,153.031010,100005
280018,-27.494594,153.031095,100006
280018,-27.494780,153.031173,100007
280018,-27.495035,153.031241,100008
280018,-27.495409,153.031258,100009
280018,-27.495738,153.031304,100010
280018,-27.495864,153.031356,100011
280018,-27.496028,153.031432,100012
280018,-27.496115,153.031482,100013
280018,-27.496297,153.031631,100014
280018,-27.496402,153.031850,100015
280018,-27.496427,153.031912,100016
280018,-27.496494,153.032126,100017
280018,-27.496531,153.032266,100018
280018,-27.496559,153.032415,100019
280018,-27.496724,153.033561,100020
280018,-27.496812,153.034188,100021
280018,-27.496812,153.034188,110001
280018,-27.496830,153.034317,110002
280018,-27.496847,153.034507,110003
280018,-27.496831,153.034649,110004
280018,-27.496802,153.034838,110005
280018,-27.496764,153.035023,110006
280018,-27.496732,153.035191,110007
280018,-27.496727,153.035244,110008
280018,-27.496724,153.035337,110009
280018,-27.496738,153.035579,110010
280018,-27.496824,153.036141,110011
280018,-27.496832,153.036392,110012
280018,-27.496746,153.036641,110013
280018,-27.496579,153.036904,110014
280018,-27.495598,153.037666,110015
280018,-27.495464,153.037816,110016
280018,-27.495350,153.037925,110017
280018,-27.495970,153.038361,110018
280018,-27.496956,153.039215,110019
280018,-27.497026,153.039277,110020
280018,-27.497249,153.039468,110021
280018,-27.497249,153.039468,120001
280018,-27.497287,153.039502,120002
280018,-27.497324,153.039534,120003
280018,-27.497545,153.039736,120004
280018,-27.497872,153.039898,120005
280018,-27.498508,153.040124,120006
280018,-27.498822,153.040175,120007
280018,-27.498779,153.040365,120008
280018,-27.498714,153.040499,120009
280018,-27.498634,153.040576,120010
280018,-27.498422,153.040629,120011
280018,-27.498232,153.040651,120012
280018,-27.498063,153.040700,120013
280018,-27.497913,153.040713,120014
280018,-27.497586,153.040776,120015
280018,-27.497422,153.040876,120016
280018,-27.497339,153.040956,120017
280018,-27.497247,153.041137,120018
280018,-27.497175,153.041359,120019
280018,-27.497135,153.041625,120020
280018,-27.497129,153.041876,120021
280018,-27.497185,153.042157,120022
280018,-27.497270,153.042460,120023
280018,-27.497644,153.043542,120024
280018,-27.497748,153.043977,120025
280018,-27.497885,153.044636,120026
280018,-27.497885,153.044636,130001
280018,-27.497897,153.044698,130002
280018,-27.498013,153.045386,130003
280018,-27.498152,153.046530,130004
280018,-27.498191,153.047705,130005
280018,-27.498207,153.047978,130006
280018,-27.498257,153.048159,130007
280018,-27.498332,153.048304,130008
280018,-27.498421,153.048437,130009
280018,-27.498493,153.048592,130010
280018,-27.498535,153.048777,130011
280018,-27.498548,153.049177,130012
280018,-27.498567,153.049705,130013
290014,-27.486018,153.034659,10001
290014,-27.486000,153.034537,10002
290014,-27.485989,153.034455,10003
290014,-27.486012,153.034112,10004
290014,-27.486024,153.033985,10005
290014,-27.486017,153.033855,10006
290014,-27.485890,153.032981,10007
290014,-27.485833,153.032752,10008
